<<<<<<< HEAD
startMoney: 500, targetMoney: 550, timeLimit: 25
startMoney: 150, targetMoney: 200, timeLimit: 60
startMoney: 665, targetMoney: 500, timeLimit: 240
startMoney: 865, targetMoney: 300, timeLimit: 150
startMoney: 1260, targetMoney: 500, timeLimit: 180
startMoney: 1560, targetMoney: 700, timeLimit: 180
startMoney: 1670, targetMoney: 600, timeLimit: 120
startMoney: 2600, targetMoney: 1000, timeLimit: 180
startMoney: 2600, targetMoney: 1500, timeLimit: 210
=======
startMoney: 35, targetMoney: 150, timeLimit: 120
startMoney: 50, targetMoney: 200, timeLimit: 120
startMoney: 65, targetMoney: 500, timeLimit: 240
startMoney: 85, targetMoney: 300, timeLimit: 150
startMoney: 120, targetMoney: 500, timeLimit: 180
startMoney: 150, targetMoney: 700, timeLimit: 180
startMoney: 170, targetMoney: 600, timeLimit: 120
startMoney: 200, targetMoney: 1000, timeLimit: 180
startMoney: 200, targetMoney: 1500, timeLimit: 210
>>>>>>> e487520bc18440d7f24ec49fef9c25c826324069
